dimension	x	z	world_rng_next_calls	lighting_drain_calls
1	2	-7	0	1
1	2	-6	0	4
1	2	-5	0	29
1	2	-4	0	21
1	2	-3	0	1
1	2	-2	0	1
1	2	-1	0	1
1	2	0	0	1
1	2	1	0	82
1	2	2	0	6
1	2	3	0	1
1	2	4	0	4
1	2	5	0	3
1	2	6	0	19
1	2	7	0	7
1	2	8	0	5
1	2	9	0	9
1	2	10	0	1
1	3	-14	0	1
1	3	-13	0	1
1	3	-12	0	1
1	3	-11	0	3
1	3	-10	0	1
1	3	-9	0	1
1	3	-8	0	7
1	3	-7	0	4
1	3	-6	0	14
1	3	-5	0	3
1	3	-4	0	11
1	3	-3	0	1
1	3	-2	0	6
1	3	-1	0	1
1	3	0	0	1
1	3	1	0	1
1	3	2	0	1
1	3	3	0	1
1	3	4	2	84
1	3	5	2	15
1	3	6	2	1
1	3	7	2	1
1	3	8	2	1
1	3	9	2	1
1	3	10	2	3
1	4	-14	2	1
1	4	-13	2	1
1	4	-12	2	1
1	4	-11	2	12
1	4	-10	2	3
1	4	-9	2	1
1	4	-8	2	6
1	4	-7	2	6
1	4	-6	2	9
1	4	-5	2	4
1	4	-4	2	1
1	4	-3	2	1
1	4	-2	2	1
1	4	-1	2	1
1	4	0	2	1
1	4	1	2	1
1	4	2	2	1
1	4	3	2	1
1	4	4	2	65
1	4	5	2	20
1	4	6	2	7
1	4	7	2	8
1	4	8	2	1
1	4	9	2	1
1	4	10	2	1
1	5	-14	2	1
1	5	-13	2	2
1	5	-12	2	1
1	5	-11	2	5
1	5	-10	2	1
1	5	-9	2	1
1	5	-8	2	4
1	5	-7	2	1
1	5	-6	2	1
1	5	-5	2	1
1	5	-4	2	1
1	5	-3	2	10
1	5	-2	2	38
1	5	-1	2	1
1	5	0	2	1
1	5	1	2	18
1	5	2	2	7
1	5	3	2	1
1	5	4	2	1
1	5	5	2	1
1	5	6	2	1
1	5	7	2	9
1	5	8	2	1
1	5	9	2	1
1	5	10	2	1
1	6	-14	2	1
1	6	-13	2	1
1	6	-12	2	1
1	6	-11	2	5
1	6	-10	2	1
1	6	-9	2	5
1	6	-8	2	6
1	6	-7	2	1
1	6	-6	2	1
1	6	-5	2	3
1	6	-4	2	1
1	6	-3	2	1
1	6	-2	2	3
1	6	-1	2	41
1	6	0	2	39
1	6	1	2	1
1	6	2	2	1
1	6	3	2	6
1	6	4	2	11
1	6	5	2	4
1	6	6	2	1
1	6	7	2	6
1	6	8	2	1
1	6	9	2	1
1	6	10	2	1
1	7	-14	2	1
1	7	-13	2	2
1	7	-12	2	1
1	7	-11	2	1
1	7	-10	2	1
1	7	-9	2	1
1	7	-8	2	21
1	7	-7	2	1
1	7	-6	2	1
1	7	-5	2	1
1	7	-4	2	1
1	7	-3	2	1
1	7	-2	2	1
1	7	-1	2	3
1	7	0	2	1
1	7	1	2	1
1	7	2	2	1
1	7	3	2	1
1	7	4	2	1
1	7	5	2	1
1	7	6	2	178
1	7	7	2	4
1	7	8	2	1
1	7	9	2	7
1	7	10	2	1
1	8	-14	2	1
1	8	-13	2	1
1	8	-12	2	2
1	8	-11	2	1
1	8	-10	2	1
1	8	-9	2	4
1	8	-8	2	5
1	8	-7	2	1
1	8	-6	2	1
1	8	-5	2	1
1	8	-4	2	4
1	8	-3	2	1
1	8	-2	2	5
1	8	-1	2	8
1	8	0	2	7
1	8	1	2	1
1	8	2	2	1
1	8	3	2	5
1	8	4	2	39
1	8	5	2	1
1	8	6	2	6
1	8	7	2	1
1	8	8	2	5
1	8	9	2	7
1	8	10	2	4
1	9	-14	2	1
1	9	-13	2	6
1	9	-12	2	1
1	9	-11	2	1
1	9	-10	2	2
1	9	-9	2	2
1	9	-8	2	9
1	9	-7	2	3
1	9	-6	2	4
1	9	-5	2	1
1	9	-4	2	1
1	9	-3	2	10
1	9	-2	2	1
1	9	-1	2	5
1	9	0	2	136
1	9	1	2	8
1	9	2	2	17
1	9	3	2	11
1	9	4	2	1
1	9	5	2	4
1	9	6	2	1
1	9	7	2	9
1	9	8	2	1
1	9	9	2	1
1	9	10	2	1
1	10	-14	2	1
1	10	-13	2	5
1	10	-12	2	1
1	10	-11	2	1
1	10	-10	2	1
1	10	-9	2	7
1	10	-8	2	7
1	10	-7	2	1
1	10	-6	2	1
1	10	-5	2	8
1	10	-4	2	44
1	10	-3	2	5
1	10	-2	2	6
1	10	-1	2	6
1	10	0	2	6
1	10	1	4	20
1	10	2	4	5
1	10	3	4	1
1	10	4	4	1
1	10	5	4	2
1	10	6	4	5
1	10	7	4	1
1	10	8	4	1
1	10	9	4	4
1	10	10	4	1
1	11	-14	4	1
1	11	-13	4	1
1	11	-12	4	3
1	11	-11	4	1
1	11	-10	4	6
1	11	-9	4	1
1	11	-8	4	6
1	11	-7	4	4
1	11	-6	4	2
1	11	-5	4	2
1	11	-4	4	1
1	11	-3	4	4
1	11	-2	4	2
1	11	-1	6	13
1	11	0	6	1
1	11	1	6	5
1	11	2	6	1
1	11	3	6	1
1	11	4	6	138
1	11	5	6	1
1	11	6	6	1
1	11	7	6	22
1	11	8	6	1
1	11	9	6	1
1	11	10	6	42
1	12	-14	6	1
1	12	-13	6	5
1	12	-12	6	1
1	12	-11	6	6
1	12	-10	6	20
1	12	-9	6	1
1	12	-8	6	3
1	12	-7	6	15
1	12	-6	6	7
1	12	-5	6	13
1	12	-4	6	4
1	12	-3	6	5
1	12	-2	6	2
1	12	-1	6	1
1	12	0	6	5
1	12	1	6	1
1	12	2	6	1
1	12	3	6	1
1	12	4	6	1
1	12	5	6	1
1	12	6	6	1
1	12	7	6	1
1	12	8	6	1
1	12	9	6	1
1	12	10	6	1
1	13	-14	6	1
1	13	-13	6	1
1	13	-12	6	10
1	13	-11	6	2
1	13	-10	6	6
1	13	-9	6	1
1	13	-8	6	6
1	13	-7	6	124
1	13	-6	6	1
1	13	-5	6	5
1	13	-4	6	5
1	13	-3	6	2
1	13	-2	6	46
1	13	-1	6	14
1	13	0	6	4
1	13	1	6	8
1	13	2	6	1
1	13	3	6	2
1	13	4	6	2
1	13	5	6	1
1	13	6	6	1
1	13	7	6	10
1	13	8	6	80
1	13	9	6	52
1	13	10	6	9
